nome,morada,país,localidade,codigo_postal,data_abertura
Honorato Clérigos,"Rua Cândido dos Reis, 12",Portugal,Porto,4050-151,2016-08-04
Prégar,"Largo de São Domingos, 96",Portugal,Porto,4050-253,2016-07-30
Nook Hamburgaria Pregaria,Rua São João Brito 32,Portugal,Porto,,2016-06-01
Alta Burguesia,"Rua da Restauração, 1",Portugal,Porto,,2016-04-21
De Gema,"Rua do Almada, 253 ",Portugal,Porto,4050-038,2016-03-21
A Burguesa,"Via do Castelo do Queijo, 395",Portugal,Porto,4100-429,2016-03-01
Tasquinha do Caco,"Rua Amândio Galhano, 51",Portugal,Porto,,2016-01-31
Dona Maria Pregaria,"Rua de Ceuta, 63",Portugal,Porto,,2015-12-19
Boulevard Burger House,"Rua Adolfo Casais Monteiro, 17",Portugal,Porto,,2015-11-30
NY Sliders,"Praça do Bom Sucesso, 132",Portugal,Porto,,2015-07-02
A Grande e à Francesa,"Praça de Parada Leitão, 65",Portugal,Porto,,2015-07-01
Ó Maria,"Rua da Conceição, 106",Portugal,Porto,,2015-06-19
Prego da Baixa,"Praça Guilherme Gomes Fernandes, 39",Portugal,Porto,,2015-05-01
Tasquinha do Caco,"Passeio de São Lázaro, 51",Portugal,Porto,,2015-01-31
Munchie,Rua do Ateneu Comercial 8-14,Portugal,Porto,,2014-12-09
Peebz,"Rua Senhora da Luz, 448",Portugal,Porto,4150-695,2014-12-01
Black Mamba - Burgers & Records,Rua Martires da Liberdade 130 ,Portugal,Porto,4050-359,2014-11-29
HD BAR TO BE WILD,"Rua das Galeria de Paris, 113",Portugal,Porto,4050-284,2014-11-11
Zé do Prego,"Rua das Oliveiras, 118",Portugal,Porto,4050-448,2014-11-01
Caffe.55,"Praça Dom Afonso V, 55",Portugal,Porto,,2014-11-01
Hamburgueria do Mercado,Rua de Diu,Portugal,Porto,4150-235,2014-10-01
Quinhentos,"Avenida de Fernão de Magalhães, 500",Portugal,Porto,,2014-09-01
Casa Vasco,"Rua do Padrão, 152",Portugal,Porto,,2014-05-08
SINS Sandwich,"Rua da Conceição, 59",Portugal,Porto,,2014-05-01
Baixa Burger,"Rua da Picaria, 87",Portugal,Porto,,2014-03-01
Baixa Burger,"Rua Pedro Homem de Mello, 242",Portugal,Porto,,2014-03-01
Pão que ladra & Destilaria,"Rua de Cândido dos Reis, 126",Portugal,Porto,,2014-01-01
Real Hamburgaria Portuguesa,"Rua da Torrinha, 134",Portugal,Porto,4050-609,2013-11-01
Nova Copa,"Avenida do Brasil, 829",Portugal,Porto,4150-154,2013-09-13
Munchie,"Praça Dona Filipa de Lencastre, 183",Portugal,Porto,,2013-07-01
Baixa Burger,"Rua da Picaria, 89",Portugal,Porto,4050,2013-07-01
Ideias com Sabor,"Rua Professor Mota Pinto, 12",Portugal,Porto,,2012-09-11
Taste Burguer,"Rua Santa Catarina, 1433",Portugal,Porto,4000 - 458,2012-03-29
Bugo Art Burger,"Rua de Miguel Bombarda, 598",Portugal,Porto,,2011-02-01
Lunatic Burguer,"Rua da Arroteia, 21",Portugal,Porto,4200-092,2009-11-27
Steak 'n Shake,"Praça de Guilherme Gomes Fernandes, 67",Portugal,Porto,4050-159,2017-01-23
Bao's Taiwanese Burguer,"Rua de Cedofeita, 263",Portugal,Porto,4050-109,2017-05-08
Backson`s Fine Burgers and Mussels,"Rua de Miragaia, 54",Portugal,Porto,4050-386,2017-03-26
Hard Rock Café,"Rua do Almada, 120",Portugal,Porto,4050-031,2016-11-20
Porto Caco,"Rua de Santa Catarina, 591",Portugal,Porto,4000-453,2016-04-20
Santo Burga Porto,"Rua Egas Moniz, 490",Portugal,Porto,4050-237,2017-03-31
Hamburgaria da Praça,"Rua de Cedofeita, 382",Portugal,Porto,4050-123,2015-01-01
Burguer Ranch,"Rua de Cedofeita, 50",Portugal,Porto,4050-157,2015-01-01